county 	Elkhart County	IN		197559
county 	Fayette County	IN		24277
county 	Floyd County	IN		74578
county 	Fountain County	IN		17240
county 	Franklin County	IN		23087
county 	Fulton County	IN		20836
county 	Gibson County	IN		33503
county 	Grant County	IN		70061
county 	Greene County	IN		33165
county 	Hamilton County	IN		274569
county 	Hancock County	IN		70002
county 	Harrison County	IN		39364
county 	Hendricks County	IN		145448
county 	Henry County	IN		49462
county 	Howard County	IN		82752
county 	Huntington County	IN		37124
county 	Jackson County	IN		42376
county 	Jasper County	IN		33478
county 	Jay County	IN		21253
county 	Jefferson County	IN		32428
county 	Jennings County	IN		28525
county 	Johnson County	IN		139654
county 	Knox County	IN		38440
county 	Kosciusko County	IN		77358
county 	LaGrange County	IN		37128
county 	Lake County	IN		496005
county 	LaPorte County	IN		111467
county 	Lawrence County	IN		46134
county 	Madison County	IN		131636
county 	Marion County	IN		903393
county 	Marshall County	IN		47051
county 	Martin County	IN		10334
county 	Miami County	IN		36903
county 	Monroe County	IN		137974
county 	Montgomery County	IN		38124
county 	Morgan County	IN		68894
county 	Newton County	IN		14244
county 	Noble County	IN		47536
county 	Ohio County	IN		6128
county 	Orange County	IN		19840
county 	Owen County	IN		21575
county 	Parke County	IN		17339
county 	Perry County	IN		19338
county 	Pike County	IN		12845
county 	Porter County	IN		164343
county 	Posey County	IN		25910
county 	Pulaski County	IN		13402
county 	Putnam County	IN		37963
county 	Randolph County	IN		26171
county 	Ripley County	IN		28818
county 	Rush County	IN		17392
county 	St. Joseph County	IN		266931
county 	Scott County	IN		24181
county 	Shelby County	IN		44436
county 	Spencer County	IN		20952
county 	Starke County	IN		23363
county 	Steuben County	IN		34185
county 	Sullivan County	IN		21475
county 	Switzerland County	IN		10613
county 	Tippecanoe County	IN		172780
county 	Tipton County	IN		15936
county 	Union County	IN		7516
county 	Vanderburgh County	IN		179703
county 	Vermillion County	IN		16212
county 	Vigo County	IN		107848
county 	Wabash County	IN		32888
county 	Warren County	IN		8508
county 	Warrick County	IN		59689
county 	Washington County	IN		28262
county 	Wayne County	IN		68917
county 	Wells County	IN		27636
county 	White County	IN		24643
county 	Whitley County	IN		33292
county 	Adair County	IA		7682
county 	Adams County	IA		4029
county 	Allamakee County	IA		14330
county 	Appanoose County	IA		12887
county 	Audubon County	IA		6119
county 	Benton County	IA		26076
county 	Black Hawk County	IA		131090
county 	Boone County	IA		26306
county 	Bremer County	IA		24276
county 	Buchanan County	IA		20958
county 	Buena Vista County	IA		20260
county 	Butler County	IA		14867
county 	Calhoun County	IA		9670
county 	Carroll County	IA		20816
county 	Cass County	IA		13956
county 	Cedar County	IA		18499
county 	Cerro Gordo County	IA		44151
county 	Cherokee County	IA		12072
county 	Chickasaw County	IA		12439
county 	Clarke County	IA		9286
county 	Clay County	IA		16667
county 	Clayton County	IA		18129
county 	Clinton County	IA		49116
county 	Crawford County	IA		17096
county 	Dallas County	IA		66135
county 	Davis County	IA		8753
county 	Decatur County	IA		8457
county 	Delaware County	IA		17764
county 	Des Moines County	IA		40325
county 	Dickinson County	IA		16667
county 	Dubuque County	IA		93653
county 	Emmet County	IA		10302
county 	Fayette County	IA		20880
county 	Floyd County	IA		16303
county 	Franklin County	IA		10680
county 	Fremont County	IA		7441
county 	Greene County	IA		9336
county 	Grundy County	IA		12453
county 	Guthrie County	IA		10954
county 	Hamilton County	IA		15673
county 	Hancock County	IA		11341
county 	Hardin County	IA		17534
county 	Harrison County	IA		14928
county 	Henry County	IA		20145
