Area Name	Place Name	Location	Place Pop	Area Pop	What	In Dict
	Wright	FL	23127		CDP 	Y
	Fort Walton Beach	FL	19507		city 	y
Gainesville		FL		187781	Urbanized Area	n
	Gainesville	FL	124354		city 	n
Salinas		CA		184809	Urbanized Area	Y
	Salinas	CA	150441		city 	Y
Hagerstown		MD/WV/PA		182696	Urbanized Area	n
	Hagerstown	MD	39662		city 	n
Deltona		FL		182169	Urbanized Area	n
	Deltona	FL	85182		city 	n
Lorain/Elyria		OH		180956	Urbanized Area	n
	Lorain	OH	64097		city 	n
	Elyria	OH	54533		city 	n
Spartanburg		SC		180786	Urbanized Area	n
	Spartanburg	SC	37013		city 	n
Cedar Rapids		IA		177844	Urbanized Area	y
	Cedar Rapids	IA	126326		city 	y
Fargo		ND/MN		176676	Urbanized Area	Y
	Fargo	ND	105549		city 	Y
Olympia/Lacey		WA		176617	Urbanized Area	Y
	Olympia	WA	46478		city 	Y
	Lacey	WA	42393		city 	Y
Waco		TX		172378	Urbanized Area	Y
	Waco	TX	124805		city 	Y
College Station/Bryan		TX		171345	Urbanized Area	y
	College Station	TX	93857		city 	y
	Bryan	TX	76201		city 	Y
McKinney		TX		170030	Urbanized Area	Y
	McKinney	TX	131117		city 	Y
North Port/Port Charlotte		FL		169541	Urbanized Area	Y
	North Port	FL	57357		city 	Y
	Port Charlotte	FL	54392		CDP 	Y
Gastonia		NC/SC		169495	Urbanized Area	n
	Gastonia	NC	71741		city 	n
Danbury		CT/NY		168136	Urbanized Area	n
	Danbury	CT	80893		city 	n
High Point		NC		166485	Urbanized Area	y
	High Point	NC	104371		city 	y
Vallejo		CA		165074	Urbanized Area	Y
	Vallejo	CA	115942		city 	Y
Santa Cruz		CA		163703	Urbanized Area	Y
	Santa Cruz	CA	59946		city 	Y
Hemet		CA		163379	Urbanized Area	n
	Hemet	CA	78657		city 	n
Springfield		IL		161316	Urbanized Area	Y
	Springfield	IL	116250		city 	Y
Muskegon		MI		161280	Urbanized Area	n
	Muskegon	MI	38401		city 	n
Clarksville		TN/KY		158655	Urbanized Area	n
	Clarksville	TN	132929		city 	n
Manchester		NH		158377	Urbanized Area	Y
	Manchester	NH	109565		city 	Y
Binghamton		NY/PA		158084	Urbanized Area	n
	Binghamton	NY	47376		city 	n
Ocala		FL		156909	Urbanized Area	n
	Ocala	FL	56315		city 	n
Sioux Falls		SD		156777	Urbanized Area	y
	Sioux Falls	SD	153888		city 	y
Medford		OR		154081	Urbanized Area	n
	Medford	OR	74907		city 	n
Charleston		WV		153199	Urbanized Area	Y
	Charleston	WV	51400		city 	Y
Port Arthur		TX		153150	Urbanized Area	Y
	Port Arthur	TX	53818		city 	Y
Nampa		ID		151499	Urbanized Area	n
	Nampa	ID	81557		city 	n
Topeka		KS		150003	Urbanized Area	Y
	Topeka	KS	127473		city 	Y
Ponce		PR		149539	Urbanized Area	Y
	Ponce	PR	132502		zona urbana 	Y
New Bedford		MA		149443	Urbanized Area	n
	New Bedford	MA	95072		city 	p
Sebastian/Vero Beach South/Florida Ridge		FL		149422	Urbanized Area	p
	Vero Beach South	FL	23092		CDP 	p
	Sebastian	FL	21929		city 	Y
	Florida Ridge	FL	18164		CDP 	y
Spring Hill		FL		148220	Urbanized Area	y
	Spring Hill	FL	98621		CDP 	y
Beaumont		TX		147922	Urbanized Area	Y
	Beaumont	TX	118296		city 	Y
Lafayette		IN		147725	Urbanized Area	Y
	Lafayette	IN	67140		city 	Y
Champaign		IL		145361	Urbanized Area	n
	Champaign	IL	81055		city 	n
Marysville		WA		145140	Urbanized Area	n
	Marysville	WA	60020		city 	n
Houma		LA		144875	Urbanized Area	n
	Houma	LA	33727		city 	n
Elkhart		IN/MI		143592	Urbanized Area	n
	Elkhart	IN	50949		city 	n
Lake Charles		LA		143440	Urbanized Area	y
